sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
15,SA1,2.9183437576427764e-4,2.918433687466443e-4,2.9187807138529e-4,2.918869440621024e-4,2.9183437576427764e-4,5.256829782476595e-8
16,SA1,3.321451596908122e-4,3.3217401216635296e-4,3.322505532595261e-4,3.322793946993599e-4,3.321451596908122e-4,1.3423500854766552e-7
17,SA1,3.014786534906657e-4,3.016067141002091e-4,3.0160139264628693e-4,3.017243130656357e-4,3.014786534906657e-4,2.4565957497000787e-7
18,SA1,2.611225856320442e-4,2.6113113066537024e-4,2.610965012840211e-4,2.61105314303246e-4,2.611225856320442e-4,-1.7271328798184552e-8
19,SA1,2.9915762865158444e-4,2.9916589627743427e-4,2.9918560037239464e-4,2.9919357126149574e-4,2.9915762865158444e-4,3.594260991130393e-8
20,SA1,3.3151921548227456e-4,3.315829332819777e-4,3.314957336730993e-4,3.315594949542852e-4,3.3151921548227456e-4,4.027947201061706e-8
21,SA1,3.0207974542693125e-4,3.0209659236149884e-4,3.02157547469526e-4,3.0217488804762377e-4,3.0207974542693125e-4,9.51426206925233e-8
22,SA1,2.6463024661712344e-4,2.6473095249942663e-4,2.648153652139269e-4,2.64914461749157e-4,2.6463024661712344e-4,2.8421513203357894e-7
23,SA1,2.693848019150315e-4,2.6941836517596336e-4,2.6938872536690463e-4,2.69422093482966e-4,2.693848019150315e-4,3.729156793449593e-8
24,SA1,2.844300732623911e-4,2.844360507101756e-4,2.844298925567451e-4,2.8443615745772416e-4,2.844300732623911e-4,6.084195333037456e-9
25,SA1,2.9617287345246377e-4,2.964173802768307e-4,2.9636651065378104e-4,2.966128234080035e-4,2.9617287345246377e-4,4.39949955539714e-7
26,SA1,3.3070654815384035e-4,3.3072910239774484e-4,3.3074542486167933e-4,3.3076827041755933e-4,3.3070654815384035e-4,6.172226371897824e-8
