lab_id,study_area,stevenson_age,stevenson_sd,post_mean,post_sd,q025,q975,ci_width,age_diff,exceeds_claimed
DHR-1641,SA1,423.0662863215381,30,500.88159932642316,150.94595697908767,218.00865419063385,802.7090357524036,584.7003815617697,77.81531300488507,TRUE
DHR-1642,SA1,382.5136869155962,30,473.30904551916797,155.20356869927895,184.90913115630886,791.6653434045651,606.7562122482562,90.79535860357174,TRUE
DHR-1644,SA1,714.3667760701381,30,597.2921570965551,145.17736720482253,307.9125627521422,862.0453227925523,554.1327600404101,-117.07461897358303,TRUE
DHR-1646,SA1,413.0457843858856,30,502.7012105661716,153.7339760872423,208.80118788619689,810.4686690617241,601.6674811755272,89.65542618028599,TRUE
DHR-1647,SA1,482.7417130601556,30,524.7068970703181,152.4373510487489,232.7004176161803,824.9496142545503,592.24919663837,41.96518401016249,TRUE
DHR-1648,SA1,481.03020686277375,30,525.3843909227421,151.37193129178942,237.5016307009318,822.7260613937485,585.2244306928167,44.35418405996836,TRUE
DHR-1649,SA1,254.14876240052865,30,407.22115916291557,154.0851419342042,142.53476208320225,734.9069696005097,592.3722075173074,153.07239676238692,TRUE
DHR-1650,SA1,541.7890496868415,30,542.8060567458529,152.16626624139693,247.36471984593555,838.35877538168,590.9940555357443,1.0170070590113482,TRUE
DHR-1652,SA1,694.8775815466096,30,597.7107956608652,144.1149448340308,306.4082990884401,858.8468039484324,552.4385048599922,-97.16678588574439,TRUE
DHR-1653,SA1,335.30085282976773,30,440.4504935646498,153.92212795234232,163.376501895592,762.2412604052719,598.8647585096799,105.14964073488204,TRUE
DHR-1654,SA1,433.52188960894847,30,502.0699261842039,155.53998888420182,206.87592817017153,812.2767049970424,605.4007768268709,68.54803657525542,TRUE
DHR-1655,SA1,348.7964320721488,30,468.5959162679311,153.2517754717745,182.50580612771805,781.9737860385766,599.4679799108585,119.79948419578233,TRUE
DHR-1656,SA1,449.0609581292956,30,517.5010230364661,153.9955090427864,222.13642273331487,821.3338474269407,599.1974246936259,68.4400649071705,TRUE
DHR-1657,SA1,740.588317615672,30,614.8514276694779,143.36857284730283,327.0382474403458,866.5757973425505,539.5375499022047,-125.7368899461942,TRUE
DHR-1658,SA1,533.4159891651854,30,549.1972497424908,149.87961241938305,256.553165276843,840.064939378832,583.511774101989,15.781260577305488,TRUE
DHR-1660,SA1,456.12043145094174,30,504.80553920316146,153.09728754972366,212.81704880535793,807.8354532038229,595.018404398465,48.68510775221972,TRUE
DHR-1662,SA1,353.92978173381886,30,472.0683250466646,157.29283304061548,181.148401781932,792.8023645051494,611.6539627232174,118.13854331284574,TRUE
DHR-1664,SA1,532.1837811394983,30,544.2595475527653,148.7531947726426,253.59807819010183,830.4646631650583,576.8665849749564,12.075766413267047,TRUE
DHR-1666,SA1,697.2170948388006,30,593.9046653814012,145.52623568430457,302.8607508445018,857.8787430569342,555.0179922124324,-103.31242945739939,TRUE
DHR-1668,SA1,554.0755226081345,30,558.6719601517558,150.37101016623097,266.8474591035877,847.3682018210858,580.520742717498,4.596437543621278,TRUE
DHR-1670,SA1,597.5071623717039,30,568.458016809121,150.0648934813044,275.32959332907376,853.8970200868865,578.5674267578128,-29.049145562582908,TRUE
DHR-1673,SA1,356.70925230378185,30,460.35724634131833,152.2832472191901,179.1119115656919,774.8331327586529,595.721221192961,103.64799403753648,TRUE
DHR-1675,SA1,374.93539103787873,30,467.34987695442413,155.39608823925508,179.78851183301165,786.2884703611851,606.4999585281735,92.4144859165454,TRUE
DHR-1677,SA1,213.6957111361277,30,367.3982091217239,147.78676454836085,125.49768936186534,684.7715481344596,559.2738587725943,153.70249798559618,TRUE
DHR-1678,SA1,280.8266072948364,30,422.2789647948213,152.76656015699072,153.5711401829905,743.8982422511789,590.3271020681884,141.45235749998494,TRUE
DHR-1682,SA1,651.7483021916865,30,571.7057402968017,149.94362024587724,273.6472207353802,851.8407871598824,578.1935664245023,-80.0425618948849,TRUE
DHR-1683,SA1,426.5167193130469,30,508.5232529498741,154.7319504214771,217.8761942379102,815.8854847114129,598.0092904735027,82.00653363682721,TRUE
DHR-1685,SA1,480.7645098125408,30,514.4779548823146,156.44468451066948,215.357622800071,823.380384842461,608.02276204239,33.713445069773854,TRUE
DHR-1686,SA1,436.54112019220025,30,495.3012287582101,153.1419612765404,207.0805047368951,802.3349089883865,595.2544042514913,58.76010856600982,TRUE
DHR-1687,SA1,390.6429932004416,30,485.01917343121323,155.84235287866449,192.42973010818235,799.8884513667497,607.4587212585673,94.37618023077164,TRUE
DHR-1688,SA1,442.6149118903353,30,492.0615865126869,155.50055648314705,197.84113143050612,806.39544854462,608.5543171141138,49.44667462235162,TRUE
DHR-1690,SA1,729.691721758466,30,593.7803874881519,145.32402214015573,305.3856079094836,857.0730853916742,551.6874774821906,-135.91133427031411,TRUE
