sample,lab_id,study_area,sens_H2Ot,sens_Ea,sens_EHT,sens_RH,var_contrib_H2Ot,var_contrib_Ea,var_contrib_EHT,var_contrib_RH,cov_total,var_taylor,var_actual
69,DHR-1709,SA1,-0.08031218567882092,0.05969871462557101,-45.069519364986036,-644.1444759256343,5.2601831376683995e-5,3532.461332906742,5059.859917767975,2578.65358917639,-7283.415352809849,3887.559539643091,25034.473500437358
70,DHR-1731,SA1,-0.04389607780771243,0.032633058707338014,-24.642526064977467,-351.78674289020114,1.5726928056681876e-5,1055.800368984001,1545.4192692626066,778.9769545901106,-2204.0999779802405,1176.0966305834054,23711.46354183498
71,DHR-1732,SA1,-0.05948678421817988,0.044222690877935573,-33.38913678204363,-476.83258698332816,2.8789377328538547e-5,1921.1407731398172,2851.7541697102297,1409.5007938949411,-4039.0910744407483,2143.3046910936173,24502.128894376496
72,DHR-1734,SA1,-0.08639111592894011,0.06421381437789013,-48.480887121946864,-692.6796562390771,6.043379018608042e-5,4041.705329590982,5943.604496669475,2961.688107723748,-8595.211367639478,4351.7866267785175,24220.426866658683
73,DHR-1735,SA1,-0.13430521103481396,0.0998093804849938,-75.32805827126438,-1073.4369741381158,1.5129191526872736e-4,9827.272618495412,14196.838483583922,7182.583125472288,-20312.161344335465,10894.533034508073,23217.290915616435
74,DHR-1736,SA1,-0.07177258563500999,0.053353194696203816,-40.280045856414255,-575.3377595572531,4.186383273256916e-5,2807.9903464940635,4108.471527403453,2043.8845004642283,-5871.918897065469,3088.42751916011,24026.065879391954
75,DHR-1737,SA1,-0.058241126152125844,0.04329583338235426,-32.68879617071903,-467.82153329365497,2.785453154449457e-5,1822.8935286527324,2704.7042178150273,1370.2645804882513,-3859.6478863770853,2038.2144684334571,23867.350958637227
76,DHR-1738,SA1,-0.07673569291523563,0.05704016536453641,-43.06252224707467,-615.7375187651544,4.789936447611168e-5,3236.306996031531,4684.777207715359,2344.152985258934,-6817.535514092298,3447.70172281289,24127.100780366298
77,DHR-1741,SA1,-0.055659650373385716,0.041378838427669616,-31.246143481022187,-446.14984672207316,2.5098524893296744e-5,1691.6041097769987,2437.060581251767,1244.2409982079107,-3524.492306906114,1848.4134074290869,24298.932071008694
78,DHR-1742,SA1,-0.1269510108318741,0.09435148448101693,-71.2175751811697,-1016.508060150619,1.3153731090403327e-4,8642.635815019961,12787.012829304313,6472.064386537123,-18372.887681841214,9528.825480557494,23098.743515139857
79,DHR-1743,SA1,-0.04730617116565128,0.035168854763979136,-26.55624379503484,-379.28772702413255,1.833004915064423e-5,1221.4696658943328,1792.9443147606971,889.6857383582558,-2541.4872438020784,1362.6124935412563,24121.486543926712
80,DHR-1744,SA1,-0.11036681396684855,0.08202953495868347,-61.91766823894487,-884.4520218132819,1.0052989718042305e-4,6630.884409545288,9618.43006217363,4887.456585870711,-13873.172744783948,7263.598413335578,24324.213083065824
81,DHR-1745,SA1,-0.035326454250729,0.026262631572664823,-19.833301297068527,-283.1363243681114,1.0332372345412014e-5,685.5318389256167,993.5861532998164,500.6553592402206,-1428.9948184976804,750.7785433003457,22728.59054636852
82,DHR-1751,SA1,-0.1398567116241054,0.10393345254850997,-78.44105449779211,-1121.0226345134981,1.647194851284371e-4,10619.93741152793,15388.054786766132,7796.243726195992,-22198.085942020207,11606.150147189332,23555.943392093086
83,DHR-1753,SA1,-0.06891222358642324,0.05122382751803657,-38.672288723596964,-551.9563970665981,4.03779981521596e-5,2564.1183605611463,3680.174108013979,1874.6997752742661,-5348.627240954394,2770.3650432729955,24261.92833787661
84,DHR-1754,SA1,-0.10027924246875841,0.07453529442623395,-56.26748658743578,-803.5744442620816,8.309075937493218e-5,5494.772793843465,8067.3081441613995,3997.9712106507172,-11647.344728316222,5912.707503430118,23427.156709372463
85,DHR-1755,SA1,-0.14042260980886567,0.10435265525988573,-78.75740034757062,-1123.3991460016866,1.6091346055089708e-4,10721.706740576547,15839.999183954822,7825.483120678956,-22677.143737259794,11710.045468863987,23795.173377722687
86,DHR-1756,SA1,-0.17622226479409164,0.1309508677993306,-98.80821456795556,-1411.5126572996953,2.5575013953092865e-4,16791.604635337742,24213.278600760816,12458.85602076756,-34777.144105262436,18686.595407353823,21387.62297216844
87,DHR-1757,SA1,-0.14905322160240075,0.11076329725276773,-83.58480023973718,-1195.1529457621375,1.8402179042059777e-4,12121.875138232632,17765.008944970294,8884.406521260385,-25542.496053450886,13228.794735034215,22222.349823723274
88,DHR-1709,SA1,-0.08022599889632431,0.05963113455319257,-45.01780117967956,-643.2486411885745,5.156837469391906e-5,3490.7936858499684,5087.799509170245,2582.559233769476,-7380.909503057408,3780.242977300657,23437.88123720443
89,DHR-1710,SA1,-0.11723623792239835,0.08712522933242431,-65.75406689516103,-939.410758059228,1.1293795570274961e-4,7529.788513716505,10892.838156816197,5470.740349655245,-15595.106564662365,8298.260568463538,23896.708672570792
90,DHR-1711,SA1,-0.09872922411915397,0.07337927142778337,-55.38942853813321,-791.5446291218495,8.04576501785022e-5,5327.057584564635,7781.5507573849145,3940.496339516031,-11139.960252865714,5909.144509057516,23769.412177100483
91,DHR-1713,SA1,-0.09911374172847331,0.07367304382973772,-55.62059600276294,-794.8543811653107,7.989934786950413e-5,5363.052153993161,7810.048163587162,3990.2075998870887,-11133.954240389052,6029.353756977707,24195.45513438542
92,DHR-1714,SA1,-0.09799248525689563,0.07283920293471789,-54.98839175323744,-785.8350528651043,7.819600177474408e-5,5229.620184287674,7701.433859392089,3879.171343061695,-11066.988893413023,5743.236571524436,23685.037976818043
93,DHR-1715,SA1,-0.10447698919705317,0.07765747550816561,-58.62133925882798,-837.4021439784884,8.885015388925703e-5,5903.7394831301635,8674.61970292898,4331.200427622211,-12293.422212440762,6616.137490090745,23102.861635527246
94,DHR-1716,SA1,-0.10488045315474892,0.07795463039452677,-58.843911162675695,-839.8630621398729,9.144812447102825e-5,6005.677917915888,8643.675793934786,4397.22006046656,-12377.098938140469,6669.474925624891,24247.987320791675
95,DHR-1717,SA1,-0.10462591280769118,0.07775803514444199,-58.68961338768834,-838.1600845681945,8.942607363360988e-5,5907.67374641627,8580.558710581157,4351.740844048488,-12378.038974201905,6461.934416270082,24037.98234408918
96,DHR-1718,SA1,-0.09089335685989397,0.06756607042849361,-51.0103994395735,-727.7266250113515,6.827201092689994e-5,4516.399395928577,6513.701779521899,3280.953406293265,-9387.511086060531,4923.5435639552215,24015.001566517585
97,DHR-1720,SA1,-0.09490885201314825,0.07054556995854083,-53.25701434632489,-760.6945380785761,7.451224119149427e-5,4900.7033653453755,7170.006614658422,3650.3851333425714,-10354.665404697369,5366.429783161242,23913.525396428624
98,DHR-1721,SA1,-0.11100751173981394,0.08250567138388025,-62.27870855447422,-889.1366276778759,9.887670640763198e-5,6714.140754654812,9770.8714389813,4984.064444318365,-14021.7577674742,7447.318969356978,23155.21314590528
99,DHR-1722,SA1,-0.10021378418464622,0.0744899600591955,-56.23431434225015,-803.094460466835,8.352462845756025e-5,5476.316927465915,7875.093275876772,4037.608248241972,-11440.693894157657,5948.3246409516305,24181.92727516645
