lab_id,study_area,stevenson_age,stevenson_sd,post_mean,post_sd,q025,q975,ci_width,age_diff,exceeds_claimed
DHR-1646,SA1,413.0457843858856,30,501.6955781236025,152.6436213775575,214.9146853795529,808.4631789064537,593.5484935269008,88.64979373771689,TRUE
DHR-1647,SA1,482.7417130601556,30,521.6611033479923,153.76697599977913,223.08686212213345,825.3005847474919,602.2137226253585,38.91939028783668,TRUE
DHR-1648,SA1,481.03020686277375,30,525.4563463704242,151.6500228478058,236.6667047461334,821.7701586834547,585.1034539373213,44.42613950765042,TRUE
DHR-1649,SA1,254.14876240052865,30,408.95448159315146,152.59100198718525,146.38763611695515,730.6131973931354,584.2255612761802,154.8057191926228,TRUE
DHR-1650,SA1,541.7890496868415,30,542.962949762929,154.12389445206458,246.51800021750483,840.3865020818852,593.8685018643803,1.1739000760875342,TRUE
DHR-1652,SA1,694.8775815466096,30,598.6092335556048,144.43105419078157,312.52518234139285,863.2651404499985,550.7399581086056,-96.26834799100482,TRUE
DHR-1653,SA1,335.30085282976773,30,441.3902812053455,156.71975305029562,159.56589382985834,765.6274753561953,606.061581526337,106.08942837557777,TRUE
DHR-1654,SA1,433.52188960894847,30,502.82116306205063,155.1244051525591,208.4462164335041,815.0005880285806,606.5543715950765,69.29927345310216,TRUE
DHR-1655,SA1,348.7964320721488,30,468.3160635582196,155.77029292203832,179.25382641423712,785.4771135237129,606.2232871094758,119.51963148607081,TRUE
DHR-1656,SA1,449.0609581292956,30,518.7927200846391,155.15460485507384,222.67657373479878,830.4975488621827,607.8209751273839,69.73176195534347,TRUE
DHR-1657,SA1,740.588317615672,30,611.341996513747,142.6934197890203,320.8442268230972,865.7970864739408,544.9528596508436,-129.2463211019251,TRUE
DHR-1658,SA1,533.4159891651854,30,548.6490385338325,152.28413201590942,253.22683695662772,839.5539296290315,586.3270926724038,15.23304936864713,TRUE
DHR-1660,SA1,456.12043145094174,30,505.1132909727683,154.90047374157632,211.45016569475283,816.3857353007847,604.9355696060319,48.992859521826574,TRUE
DHR-1662,SA1,353.92978173381886,30,470.7501047434061,154.75993788713077,183.18904893489972,787.1756962402295,603.9866473053298,116.82032300958724,TRUE
DHR-1664,SA1,532.1837811394983,30,544.448036316352,151.7914246298479,251.31749813736124,837.9395136853684,586.6220155480072,12.264255176853794,TRUE
DHR-1666,SA1,697.2170948388006,30,592.7716289948759,144.65829209654746,304.75026278815665,858.6039544313726,553.8536916432159,-104.4454658439247,TRUE
DHR-1668,SA1,554.0755226081345,30,558.9929768839567,151.90402559052055,261.30386030001904,845.0243598180306,583.7204995180116,4.917454275822138,TRUE
DHR-1670,SA1,597.5071623717039,30,567.7216836334643,149.25392148297163,275.4702787579684,851.4662081756837,575.9959294177154,-29.78547873823959,TRUE
DHR-1673,SA1,356.70925230378185,30,461.5762327932096,155.97950734010269,178.41486014089486,774.9582659935877,596.5434058526928,104.86698048942776,TRUE
DHR-1675,SA1,374.93539103787873,30,466.4468525780989,155.59340854716956,181.4446018615651,781.0007124613587,599.5561105997936,91.51146154022018,TRUE
DHR-1677,SA1,213.6957111361277,30,372.0025319454408,150.30494707988353,129.29365566180385,697.2665329416875,567.9728772798836,158.3068208093131,TRUE
DHR-1678,SA1,280.8266072948364,30,422.2655616481556,154.79122925809926,146.86173588699904,751.7805169448816,604.9187810578826,141.43895435331922,TRUE
DHR-1682,SA1,651.7483021916865,30,571.0818135876597,151.4528754928176,271.27031846669803,853.4187166310537,582.1483981643557,-80.66648860402688,TRUE
DHR-1683,SA1,426.5167193130469,30,509.79055859073617,154.83229373298656,216.96109428791414,818.0632330332262,601.102138745312,83.27383927768926,TRUE
DHR-1685,SA1,480.7645098125408,30,515.093618315286,155.1122384310405,218.03341603302727,819.6137590024244,601.5803429693972,34.329108502745214,TRUE
DHR-1686,SA1,436.54112019220025,30,495.6468580652411,156.73004426235536,202.80593233602966,811.7388498989682,608.9329175629385,59.10573787304082,TRUE
DHR-1687,SA1,390.6429932004416,30,483.83036497422154,156.15741860946574,195.2656159003453,800.9415344259062,605.6759185255609,93.18737177377994,TRUE
DHR-1688,SA1,442.6149118903353,30,493.2176006862362,158.49983203560458,198.83874956136492,806.6875794857119,607.848829924347,50.60268879590092,TRUE
DHR-1690,SA1,729.691721758466,30,593.664792472005,145.4151482654511,305.7541954130936,859.9748156255405,554.2206202124469,-136.02692928646093,TRUE
DHR-1693,SA1,492.5109912847379,30,521.7877171811089,154.45198464972535,227.70934068958525,824.0091813081518,596.2998406185666,29.276725896370976,TRUE
DHR-1694,SA1,555.893679008092,30,565.2934308108262,152.2937434212654,267.25618806042496,851.5386962494431,584.2825081890181,9.399751802734158,TRUE
DHR-1696,SA1,389.2242545719028,30,484.70868269703817,153.4938243177806,195.95174801967684,793.3790452105105,597.4272971908337,95.48442812513537,TRUE
DHR-1697,SA1,409.08644696450807,30,496.5272436514401,153.57609014972263,205.98967983572112,807.3360487008702,601.3463688651491,87.440796686932,TRUE
DHR-1698,SA1,434.7975773030522,30,510.27613780954664,152.67837641234092,219.31489053375128,817.2901567594238,597.9752662256725,75.47856050649443,TRUE
DHR-1699,SA1,361.9801577966529,30,457.8766702337823,153.67453388202364,175.57057463247878,775.4561083335976,599.8855337011189,95.89651243712939,TRUE
