study_area,lab_id,provenience,1630_cm1,H2Ome_pct,3570_cm1,H2Ot_pct,eht_c,RH_fraction,rate,H2Ome2_per_day,Ea_J_per_mol,date_bp,date_ad,sd
SA1,DHR-1751,Garden 5,0.1197000000000000,0.1205198899999999,0.0886000000000000,0.0569794847599855,22.3999999999999986,0.9800000000000000,0.0000226485769617,0.0000001111568025,85344.6745394321769709,632.6265011799673630,1376.3734988200326370,30.0000000000000000
SA1,DHR-1753,Garden 5,0.0937000000000000,0.0837636900000000,0.1316000000000000,0.0896540311207215,22.3999999999999986,0.9800000000000000,0.0000255191914274,0.0000001181075872,84569.7649979409616208,344.0426404173965693,1664.9573595826034307,30.0000000000000000
SA1,DHR-1754,Garden 5,0.1063000000000000,0.1015763100000000,0.0934000000000000,0.0605298231201541,22.3999999999999986,0.9800000000000000,0.0000229441624294,0.0000001118918045,85260.4747148824244505,492.4864890919593563,1516.5135109080406437,30.0000000000000000
SA1,DHR-1755,Garden 5,0.1200000000000000,0.1209440000000000,0.1250000000000000,0.0845218214076174,22.3999999999999986,0.9800000000000000,0.0000250453192404,0.0000001169877218,84691.4804834969399963,574.9577340882624412,1434.0422659117375588,30.0000000000000000
SA1,DHR-1756,Garden 5,0.1310000000000000,0.1364947000000000,0.1318000000000000,0.0898101484378449,22.3999999999999986,0.9800000000000000,0.0000255337458685,0.0000001181418201,84566.0625196480687009,672.0909688842576770,1336.9090311157424367,30.0000000000000000
SA1,DHR-1757,Garden 13,0.1230000000000000,0.1251851000000000,0.1073000000000000,0.0709576481949750,22.3999999999999986,0.9800000000000000,0.0000238348304261,0.0000001140788255,85013.1684154079703148,634.7433453295850541,1374.2566546704149459,30.0000000000000000
SA1,DHR-1709,26-286,0.0986000000000000,0.0906908200000000,0.1499000000000000,0.1040764614930514,22.3999999999999986,0.9800000000000000,0.0000268994078728,0.0000001213123330,84227.7226392307929927,454.0111651952342413,1554.9888348047657018,30.0000000000000000
SA1,DHR-1710,26-286,0.1194000000000000,0.1101761686507390,0.2866000000000000,0.2186901104710818,22.3999999999999986,0.9800000000000000,0.0000273389058138,0.0000001223157515,84122.4833557887468487,521.4678340497006275,1487.5321659502992588,30.0000000000000000
SA1,DHR-1711,26-286,0.1066000000000000,0.1007191527628577,0.2871000000000000,0.2191272672507571,22.3999999999999986,0.9800000000000000,0.0000283448749994,0.0000001245830412,83887.8331568049761700,400.9035143117146163,1608.0964856882853837,30.0000000000000000
SA1,DHR-1713,26-286,0.1067000000000000,0.1007897947441466,0.2741000000000000,0.2077977319392993,22.3999999999999986,0.9800000000000000,0.0000271889486039,0.0000001219742815,84158.1997614797583083,418.7322638268383912,1590.2677361731616656,30.0000000000000000
